date,contest_number,n1,n2,n3,n4,n5,n6,jolly,super_star
2023-05-23,61,27,50,63,23,26,13,71,1
2023-05-25,62,40,33,38,51,22,20,44,76
2023-05-27,63,78,88,64,41,79,12,58,86
2023-05-30,64,10,22,37,55,76,87,60,43
2023-06-01,65,83,2,37,64,90,89,34,23
2023-06-03,66,58,64,56,27,63,39,55,38
2023-06-06,67,17,26,51,54,61,62,73,8
2023-06-08,68,82,58,3,8,87,66,69,55
2023-06-10,69,8,30,33,40,64,78,42,59
2023-06-13,70,6,37,53,54,72,84,74,84
2023-06-15,71,24,71,21,9,4,52,8,58
2023-06-17,72,12,18,26,40,53,63,54,58
2023-06-20,73,56,74,42,69,7,76,45,4
2023-06-22,74,67,65,30,38,21,90,77,7
2023-06-24,75,1,21,32,59,86,35,38,6
2023-06-27,76,57,31,80,46,70,71,75,8
2023-06-29,77,1,27,38,41,79,81,39,29
2023-07-01,78,43,17,41,39,89,87,33,44
2023-07-04,79,89,90,68,11,23,50,41,32
2023-07-06,80,5,53,17,57,27,38,30,16
2023-07-07,81,1,13,23,73,83,85,79,3
2023-07-08,82,18,56,20,28,41,8,58,55
2023-07-11,83,39,41,77,64,58,71,9,74
2023-07-13,84,64,50,20,49,53,38,72,62
2023-07-14,85,38,41,43,55,61,71,59,75
2023-07-15,86,52,78,56,40,51,45,30,5
2023-07-18,87,45,65,52,22,60,49,23,26
2023-07-20,88,47,62,41,65,14,88,39,37
2023-07-21,89,13,38,52,56,73,90,7,24
2023-07-22,90,50,2,90,65,37,68,67,60
2023-07-25,91,30,74,48,69,6,71,62,22
2023-07-27,92,57,18,39,83,50,48,38,55
2023-07-28,93,1,23,33,50,55,78,45,82
2023-07-29,94,60,68,27,39,85,58,45,82
2023-08-01,95,54,63,32,36,11,40,78,57
2023-08-03,96,4,6,9,33,65,73,48,12
2023-08-04,97,5,21,57,71,72,84,66,11
2023-08-05,98,7,9,17,18,47,81,61,20
2023-08-08,99,4,71,81,5,3,82,64,10
2023-08-10,100,86,21,9,49,53,43,68,62
