date,contest_number,n1,n2,n3,n4,n5,n6,jolly,superstar,winners_6,prize_6,source_url
2010-03-04,27,17,24,34,48,61,87,39,75,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-06,28,16,21,30,35,57,78,36,38,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-09,29,26,28,48,52,55,90,64,49,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-11,30,7,8,25,46,65,78,74,45,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-13,31,8,9,11,14,79,90,82,90,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-16,32,6,15,21,27,49,85,66,81,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-18,33,4,5,29,58,71,84,49,35,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-20,34,4,18,26,47,61,80,35,15,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-23,35,20,29,44,54,64,69,23,59,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-25,36,6,50,67,69,77,88,32,75,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-27,37,44,45,58,65,66,85,16,35,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-03-30,38,8,30,64,69,80,88,35,5,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-01,39,23,25,37,38,50,86,43,31,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-03,40,2,16,19,47,49,57,27,23,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-06,41,1,30,67,68,71,80,56,84,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-08,42,7,29,36,50,56,75,25,51,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-10,43,6,31,58,64,74,82,33,36,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-13,44,33,42,46,55,69,90,83,45,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-15,45,34,37,38,39,59,90,42,86,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-17,46,30,54,66,67,76,90,14,5,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-20,47,4,14,40,41,54,79,50,55,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-22,48,6,25,29,44,68,74,76,88,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-24,49,6,7,45,46,67,85,31,21,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-27,50,4,26,28,59,61,68,60,42,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-04-29,51,31,38,49,54,62,76,60,87,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-03,52,19,33,45,55,82,84,86,2,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-04,53,5,15,23,39,43,49,29,87,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-06,54,2,4,25,34,61,66,47,87,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-08,55,18,26,45,67,70,90,32,55,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-11,56,13,28,39,45,68,81,8,40,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-13,57,19,29,37,46,64,75,70,4,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-15,58,22,32,34,70,78,90,61,73,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-18,59,50,55,57,62,78,83,23,29,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-20,60,19,38,48,54,71,84,28,31,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-22,61,31,32,57,59,78,79,10,73,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-25,62,6,34,43,60,71,73,81,71,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-27,63,9,39,49,64,65,72,52,7,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-05-29,64,22,68,75,83,85,89,10,72,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-01,65,3,15,46,67,75,78,5,51,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-03,66,30,38,46,47,62,67,68,63,,,https://lottologia.com/superenalotto/estrazioni/2010
2010-06-05,67,1,6,13,24,46,89,8,86,,,https://lottologia.com/superenalotto/estrazioni/2010
